Building_Code,Date,Gas_Consumption,Month,Year,Season
F402,2022-07-01,5680.6,7,2022,Winter
F405,2022-07-01,33051.58,7,2022,Winter
F512,2022-07-01,27969.03,7,2022,Winter
F516/17,2022-07-01,4805.56,7,2022,Winter
F603,2022-07-01,2837.01,7,2022,Winter
F620 Psychology 2,2022-07-01,5943.65,7,2022,Winter
F62X,2022-07-01,50131.87,7,2022,Winter
F916,2022-07-01,68762.31,7,2022,Winter
F940,2022-07-01,29371.76,7,2022,Winter
G403 Biochemistry Gas meter,2022-07-01,141.43,7,2022,Winter
G404 Microbiology Gas meter,2022-07-01,20755.48,7,2022,Winter
G412,2022-07-01,46017.08,7,2022,Winter
G501 Staff Club Gas meter,2022-07-01,2086.16,7,2022,Winter
G601,2022-07-01,1370.5,7,2022,Winter
G608,2022-07-01,4084.09,7,2022,Winter
G60X,2022-07-01,8673.5,7,2022,Winter
F204,2022-08-01,10404.92,8,2022,Winter
F402,2022-08-01,3495.75,8,2022,Winter
F405,2022-08-01,24610.71,8,2022,Winter
F512,2022-08-01,25973.66,8,2022,Winter
F516/17,2022-08-01,6539.21,8,2022,Winter
F603,2022-08-01,773.73,8,2022,Winter
F620 Psychology 2,2022-08-01,6085.17,8,2022,Winter
F62X,2022-08-01,94603.12,8,2022,Winter
F916,2022-08-01,75377.33,8,2022,Winter
F940,2022-08-01,283245.78,8,2022,Winter
G403 Biochemistry Gas meter,2022-08-01,70.72,8,2022,Winter
G404 Microbiology Gas meter,2022-08-01,19022.91,8,2022,Winter
G412,2022-08-01,15934.72,8,2022,Winter
G501 Staff Club Gas meter,2022-08-01,1767.93,8,2022,Winter
G601,2022-08-01,1096.4,8,2022,Winter
G608,2022-08-01,3316.41,8,2022,Winter
G60X,2022-08-01,17638.0,8,2022,Winter
F204,2022-09-01,11847.49,9,2022,Spring
F402,2022-09-01,5124.46,9,2022,Spring
F405,2022-09-01,9152.74,9,2022,Spring
F512,2022-09-01,23707.73,9,2022,Spring
F516/17,2022-09-01,5505.11,9,2022,Spring
F603,2022-09-01,4163.41,9,2022,Spring
F620 Psychology 2,2022-09-01,5200.7,9,2022,Spring
F62X,2022-09-01,41393.29,9,2022,Spring
F916,2022-09-01,18759.52,9,2022,Spring
F940,2022-09-01,121401.03,9,2022,Spring
G403 Biochemistry Gas meter,2022-09-01,106.08,9,2022,Spring
G404 Microbiology Gas meter,2022-09-01,19500.255,9,2022,Spring
G412,2022-09-01,25763.61,9,2022,Spring
