Date,0000 Ring Main #1 MP4889 - kWh,0000 Ring Main #2  - kWh,0000 Ring Main #3  - kWh,A161 Taieri Farm - kWh,C405 192 Castle College - kWh,D20X Med School Sub Main - kWh,D402 Hayward College - kWh,D403 Survey & Marine - kWh,D40X Cumberland College - kWh,E201 School of Dentistry - kWh,E212 Zoology Buildings - kWh,E214 Otago Dental School - kWh,E301 Hunter Centre - kWh,E305 Physiotherapy - kWh,E308 Student Health - kWh,E325 Research Support Facility - kWh,E902 Hocken Library - kWh,F204 444 Great King Street - kWh,F315 Botany Tin Hut - kWh,F325 Physical Education - kWh,F711 Executive Residence - kWh,F812 UOCOE Owheo Building - kWh,F813 UOCOE Robertson Library - kWh,F940 Plaza Building - kWh,F9XX College of Education main (Boiler room) - kWh,G401 Mellor Laboratories - kWh,G403 Biochemistry - kWh,G404 Microbiology - kWh,G413 Science 2 - kWh,G608 St Margarets College - kWh,G60X UNICOL - kWh,H41X Selwyn College - kWh E2,H633 Arana College main - kWh,H71X Studholm College - kWh E2,J126 Carrington College (Kitchen/Dining) - kWh,J14X Aquinas College - kWh,J303 Caroline Freeman College - kWh,J960 Portobello Marine Lab - kWh,K427 Abbey College - kWh,XC01 UoO School of Medicine ChCh - kWh,Ring Mains Total - kWh,Libraries Total - kWh,Colleges Total - kWh,Science Total - kWh,Health Science Total -kWh,Humanities Total - kWh,OBS & Psychology Total - kWh,Total Stream DN Electricity - kWh,ITS Servers Total - kWh
Jan-24,169773.838,0,443670.11,3784.09,9163.376,318312.36,20138.18,15907.64,13771.85,,71428.512,157624.416,11420.24,165081.936,9696.41,147614.04,77719.184,105940.95,31756.724,17944.032,2764.476,22429.58,27918.83,105147.362,48419.472,113115.232,126663,109383.592,106373.712,20394.072,32038.88,6726.402,11983.296,10425.9,8850.47,12526.704,24733.38,27669.6,8637.83,184514.736,613443.948,215203.834,172545.516,540632.374,803837.082,123748.092,164504.58,2616949.678,258325.72
Feb-24,174615.706,0,458356.097,3244.97,14354.08,317063.07,24040.41,15755.776,27949.51,,68321.952,160042.304,12308.644,153991.032,9956.14,102219.52,71382.768,100690.24,32569.656,19589.504,2385.09,22809.18,32824.01,106097.383,50883.056,106883.296,123717.024,114057.288,105291.048,28027.284,47696.416,15219.054,10702.992,20920.3,17708.17,24832.48,48780.57,28895.25,10580.66,175950.888,632971.803,225400.298,268309.78,541075.86,748869.54,126211.676,154265.09,2684761.93,242451
Mar-24,197683.764,0,559732.279,3369.88,22236.096,346621.38,26937.13,19009.436,46602.68,,68626.272,172928.96,14849.736,164501.136,15454.63,105732,74715.072,104272.47,36598.5,28936.48,3756.168,26827.71,38080.15,118655.003,64376.912,117386.208,131844.936,116187.36,114991.92,42300.066,69449.04,34178.904,12014.192,39436.14,30401.32,49357.44,84582.51,35240.74,20783.32,180391.968,757416.043,255783.902,439413.676,602785.366,808003.092,139705.532,179273.73,3158657.94,254363.47
Apr-24,197035.854,0,597105.733,3150.07,21765.536,341710.23,26850.27,19375.06,45107.89,,66733.04,173134.496,13861.072,160522.44,19798.67,102784.12,70677.248,97562.71,37857.992,32909.552,3857.82,26536.04,36477.99,111649.788,66360.56,109636.128,124997.256,108442.152,105974.184,38569.752,67209.376,47464.596,11219.808,44637.58,33610.44,52254.464,102362.4,34872.96,28936.61,173665.872,794141.587,107155.238,483173.206,587262.808,795162.428,141689.18,204359.69,3183011.887,241385.82
May-24,229761.812,0,795130.115,3310.32,23636.624,385315.95,35148.4,23438.272,56862.59,,72304.336,177966.272,15613.6,171699.288,29674.44,105924.52,73802.032,103927.94,44293.44,50648.768,5692.08,30552.03,41005.71,101387.669,82209.056,120342.816,133525.008,111755.256,121622.88,41053.158,82622.288,73830.822,11267.52,70126.98,43964.85,74943.232,158520.3,41494.52,49899.82,186063.024,1024891.927,114807.742,675498.406,616452.318,859829.95,157537.676,282090.51,3794274.714,253649.54
Jun-24,202655.105,0,701132.013,3205.54,20329.728,357529.83,41268.9,18902.484,42865.8,,65879.52,154455.168,13144.6,165365.472,27463.23,106150.04,70942.272,103556.12,47224.96,47485.392,4397.976,27420.78,39874.71,95472.274,76504.8,109540.864,124361.784,105129.768,115197.096,35578.464,67335.632,59431.362,8807.04,56526.2,38500.59,67140.624,134060.79,43748.7,42970.31,172476.864,903787.118,110816.982,579298.564,580529.564,799850.65,151833.42,232945.66,3441555.938,248914.71
Jul-24,202476.363,0,772267.4,2566.77,21003.808,398871.9,41088.35,20556.472,42475.56,,70482.752,168375.68,14619.896,176400.168,30023.81,106911.28,73723.488,105718.17,52179.888,51708.608,19362.024,30927.97,35628,105103.987,84013.04,118194.976,133628.688,107123.4,124593.648,35761.326,66946.544,62414.406,7996.944,60060.16,39805.89,70377.728,143311.74,49234.16,47203.24,182587.464,974743.763,109351.488,621789.146,625001.874,867745.694,84013.04,260516.35,3693138.234,222864.17
Aug-24,221501.505,0,757727.648,2747.55,23789.456,400246.53,34470.76,22132.792,52406.99,,72217.584,167732.64,16293.332,175878.696,27619.74,104484.76,75100.304,101686.08,43093.028,44850.944,8010.432,27356.75,40250.27,135836.726,88879.216,122152,134534.712,108823.104,118099.2,41438.298,80172.224,72886.464,7219.04,72074.53,43135.2,76083.536,162927.78,43140.66,51698.43,184149.864,979229.153,115350.574,673497.666,601866.062,867383.508,88879.216,,3778698.911,218832.08
Sep-24,195591.6,0,652326.17,2731.09,21614.976,372467.55,28073.92,20608.156,44875.68,,70377.344,164891.168,14721.82,166631.976,22182.61,106069.4,78579.296,95648.13,35124.384,34534.496,7580.574,24615.31,41312.57,120216.329,76110.784,118978.976,128474.328,108268.008,115059.024,37179.156,71153.728,58321.35,6835.92,57065.79,36118.2,61813.712,130256.43,40094.26,40211.92,175924.536,847917.77,119891.866,554562.938,567659.958,827513.004,76110.784,,3406716.135,212794.13
Oct-24,214258.862,0,624555.79,2629.15,23035.12,366398.58,30019,20969.084,46000.06,,71919.776,180143.712,16839.68,172066.848,18006.02,110795.36,81889.152,99781.97,31847.904,31845.056,4831.392,24749.79,42090.29,131370.455,70190.256,119141.408,131214.528,112037.88,108584.136,38449.362,77810.704,56030.562,6576.912,55788.88,35382.49,57534.8,119910.33,39555.69,36720.51,179128.032,838814.652,123979.442,535029.208,560650.724,848873.33,70190.256,,3410971.499,216927.97
