Gas_Consumption_RollingMean_3,Gas_Consumption_Lag_12,Building_Code_Encoded,Gas_Consumption_RollingMean_12,Gas_Consumption_Lag_1,Gas_Consumption_RollingMean_6,Gas_Consumption_Lag_2,Gas_Consumption_Lag_3,Gas_Consumption_Lag_6,Gas_Consumption
12784.533333333335,2610.13,15,5926.537500000001,4790.36,8234.713333333335,31198.77,3930.55,3807.72,2364.47
10232.586666666666,100.0,16,12337.090000000002,2716.78,12933.835000000001,27880.98,2682.82,41296.0,100.0
1422.11,4450.48,0,6565.739999999999,1227.72,3258.5716666666667,920.79,3345.53,11694.02,2117.82
6024.6466666666665,3019.06,1,4872.810833333334,4101.17,5263.376666666667,4845.66,4528.59,5045.01,9127.11
704.09,169.5,2,11331.636666666665,1220.37,4436.881666666666,0.0,0.0,21627.6,891.9
7176.366666666666,7744.75,3,14978.693333333335,3283.57,8307.031666666668,12390.85,12390.85,21509.44,5854.68
1439.64,1976.97,4,3462.2333333333336,1155.77,2245.6349999999998,1003.69,2281.12,5292.2,2159.46
503.5399999999997,884.26,5,1630.3616666666667,368.44,755.31,221.07,589.51,2358.04,921.11
5082.766666666666,5059.18,6,5023.801666666666,5377.59,4793.838333333333,4422.36,3927.06,4457.74,5448.35
4764.356666666657,5483.73,7,48926.0425,3396.37,13597.283333333333,6969.64,17724.82,50627.18,3927.06
58562.73666666667,89489.38,8,54445.301666666666,55159.11,59964.895,66319.84,124769.5,1509.5,54209.26
23319.12,26098.12,9,67119.24666666666,28226.2,28577.966666666678,24459.56,20524.4,131764.4,17271.6
41.606666666666655,70.72,10,63.44083333333334,42.08,50.26999999999999,49.5,35.36,35.36,33.24
16512.453333333335,17696.965,11,17696.964583333334,18975.18,16547.810833333333,13683.765,16158.865,18227.345,16878.415
20468.586666666644,8091.46,12,58559.67833333334,17955.29,90379.47499999999,40273.45,434059.75,2779.89,3177.02
836.8166666666665,707.17,13,1237.55,990.04,813.245,636.45,212.15,1838.65,883.96
385.77,1400.95,14,964.4241666666667,395.92,604.0333333333334,121.82,60.91,1370.5,639.57
3521.1200000000003,3899.85,15,5885.594166666667,2364.47,8255.185,4790.36,31198.77,3285.7,3408.53
938.9266666666667,0.0,16,12337.090000000002,100.0,5925.668333333334,2716.78,27880.98,42049.0,0.0
2680.52,6353.45,0,6427.620833333333,2117.82,2721.4433333333336,1227.72,920.79,7918.79,4696.02
6929.099999999999,3376.58,1,5221.3475,9127.11,5808.173333333333,4101.17,4845.66,4290.24,7559.02
2750.8933333333334,6237.43,2,11323.551666666666,891.9,2584.513333333333,1220.37,0.0,17254.62,6140.41
7589.393333333333,13697.05,3,14973.1,5854.68,9990.121666666668,3283.57,12390.85,3531.39,13629.93
2463.61,2828.59,4,3566.150833333333,2159.46,2265.911666666667,1155.77,1003.69,3953.94,4075.6
896.5433333333331,2394.88,5,1547.4616666666668,921.11,693.9016666666666,368.44,221.07,1768.53,1400.08
5389.383333333334,4634.63,6,5082.766666666667,5448.35,4858.7,5377.59,4422.36,4953.04,5342.21
3962.4366666666574,118554.63,7,39426.81333333333,3927.06,9275.165,3396.37,6969.64,30496.59,4563.88
71883.24333333333,119036.48,8,53382.375,54209.26,75586.52500000001,55159.11,66319.84,12551.58,106281.36
23932.91333333333,34922.05,9,66400.82083333335,17271.6,22575.61500000001,28226.2,24459.56,62315.05,26300.94
45.84999999999999,70.72,10,62.73333333333333,33.24,42.961666666666666,42.08,49.5,106.08,62.23
18439.49666666667,17573.21,11,17854.605,16878.415,16883.7175,18975.18,13683.765,17449.455,19464.895
7408.136666666647,14098.01,12,57475.8525,3177.02,83810.33333333333,17955.29,40273.45,40506.95,1092.1
