Month,F204 444 Great King Street - kWh,F813 Bill Robertson Library 1 MSB:,F419 ISB West Excluding Shops,F505 Richardson Library Block Rising Main:,F518 Arts 1 Submains MSB:,"F516 97 Albany & F517 99 Albany, F513 262 Leith Walk:",F614 1 School of Business Incomer 1 (Lower floors):,F614 2 School of Business Incomer 2 (Upper floors):,F618 1 Psychology substation- Goddard,F505 1 Richardson Mains:,G506/07 Archway buildings (incl. Allen & Marama Hall):,F315 Botany Tin Hut - kWh,F325 Physical Education - kWh,F711 Executive Residence - kWh,F812 UOCOE Owheo Building - kWh,F813 UOCOE Robertson Library - kWh,F940 Plaza Building - kWh,F9XX College of Education main (Boiler room) - kWh,G401 Mellor Laboratories - kWh,G505 Geology north:,G505 Geology south:,G403 Biochemistry - kWh,G404 Microbiology - kWh,G413 Science 2 - kWh,G608 St Margarets College - kWh,G60X UNICOL - kWh,H41X Selwyn College - kWh E2,H633 Arana College main - kWh,H71X Studholm College - kWh E2,Total kwh,is_anomaly
Mar-23,119858.94,40530.64,71311.41,13250.5,25238.78,1530.34,61686.79,29668.86,84045.82,66122.49,13283.33,28155.368,26037.872,9206.994,34745.93,40392.62,134667.155,61421.44,121636.8,28097.02,8186.37,142286.928,118099.872,117258.912,35581.176,74208.144,32099.472,51125.92,35430.74,1625166.633,True
May-23,119288.3,43112.02,74385.01,15011.97,28210.91,2507.66,65879.55,46530.56,98728.96,71376.13,26347.01,32350.172,39935.408,17295.336,33584.73,42960.64,132970.652,71231.216,120440.064,37179.9,13704.06,140897.352,118004.952,115032.144,39523.908,77504.88,58825.338,55909.456,50088.0,1788816.288,True
