Meter_location,Jan_2022,Feb_2022,Mar_2022,Apr_2022,May_2022,Jun_2022,Jul_2022,Aug_2022,Sep_2022,Oct_2022,Nov_2022,Dec_2022,Jan_2023,Feb_2023,Mar_2023,Apr_2023,May_2023,Jun_2023,Jul_2023,Aug_2023,Sep_2023,Oct_2023,Nov_2023,Dec_2023,Jan_2024,Feb_2024,Mar_2024,Apr_2024,May_2024,Jun_2024,Jul_2024,Aug_2024,Sep_2024,Oct_2024,Nov_2024,Dec_2024
LFB Freezer 1  Sterling,272,234,257,235,262,288,251,285,252,270,264,302,278,247,327,350,346,186,266.27,281,286,299.2,288,295,299.35,275,298,345.46,356,312.94,280,290,286,321,0.0,0.0
LFB Freezer 2,275,243,263,248,265,256,236,253,233,256,246,269,290,253,273,259,269,247,251.0,265,274,287.91,293,309,317.88,293,302,307.18,304,303.77,312,316,317,341,0.0,0.0
LFB Freezer 3,676,602,670,633,660,649,656,678,653,689,656,695,715,615,667,634,624,562,581.0,594,591,612.22,613,642,648.94,589,614,607.74,630,617.8,651,685,653,673,0.0,0.0
