,Jan_2022,Feb_2022,Mar_2022,Apr_2022,May_2022,Jun_2022,Jul_2022,Aug_2022,Sep_2022,Oct_2022,Nov_2022,Dec_2022,Jan_2023,Feb_2023,Mar_2023,Apr_2023,May_2023,Jun_2023,Jul_2023,Aug_2023,Sep_2023,Oct_2023,Nov_2023,Dec_2023,Jan_2024,Feb_2024,Mar_2024,Apr_2024,May_2024,Jun_2024,Jul_2024,Aug_2024,Sep_2024,Oct_2024,Nov_2024,Dec_2024
count,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0
mean,0.588827142853105,0.5811766545287695,0.36478378485104007,0.5408911553760288,0.5518038181887746,0.34037544181128665,0.5474019897313367,0.453679015363124,0.4517102221247005,0.34851123092757286,0.28996530939450466,0.582888194914463,0.2539547175703317,0.570054043630735,0.6118201069451572,0.5347599964599983,0.537900605168825,0.5886494826508184,0.5520899026912777,0.5713665240426403,0.37712747422766124,0.3430856444133742,0.3732659726596586,0.3505033336711243,0.5205488790713199,0.5117380224798658,0.5241661020504125,0.4928014095993928,0.5454420966959974,0.3410201470388047,0.520737137239013,0.22047304961484893,0.3206466743853389,0.3060409135603296,0.33040526478926213,0.5107128764319321
std,0.33721527563892323,0.3359962577590084,0.1826783291044248,0.41082342014773937,0.3979931316599408,0.24399061508275172,0.3267797188927646,0.31049056734940267,0.3191413066613258,0.39848844764478486,0.23298347966550026,0.36688894359652807,0.2846262583441658,0.3335350728335581,0.3233868996284179,0.40579656348547116,0.4054631906404222,0.20185546033941432,0.35983279164639903,0.2680101282138179,0.365455005954837,0.4015592479717834,0.22598456661964772,0.3961318925394479,0.41616746487892886,0.416325022302525,0.40986568053790207,0.3773905129089498,0.4047185766331826,0.19856496509391375,0.3142888523943406,0.18096311581555286,0.3818643471587782,0.4084142392027784,0.34157473003422373,0.2810717919299751
min,0.08587585902387486,0.061419065763027046,0.08708612431541037,-0.06712705846473117,-0.01621903293290056,0.0863456474524391,-0.008227789647924715,0.04390400471719995,0.13937512719279313,-0.0873843544645314,-0.012477155680282445,0.05186879443677335,-0.17983351024951735,0.031270916967430534,0.10448451551378082,-0.07433683363527166,-0.048743990660155154,0.2486983603563606,-0.03799076695127324,0.10346810993893223,-0.0036179156817616118,-0.09423112874618421,-0.17983351024951735,-0.02894380908319187,-0.07217388312157465,-0.08829420539903618,-0.062496963507514325,-0.06973182419285306,-0.03218327022335349,-0.04410437110376648,-0.004128519115457693,-0.05986812036801507,-0.08829420539903618,-0.10025562177585344,-0.06973182419285306,0.05280363528379844
25%,0.25491557256060504,0.24195942178082158,0.2628542316192602,0.17693998546866202,0.18073007953244252,0.15728270484523155,0.22377261862762363,0.2485018856848955,0.18364255903268856,0.02529450535025124,0.11960409073537055,0.2415759006500111,0.05057872764214882,0.1885363651016485,0.3172145277533711,0.16113223394614792,0.14858897016424666,0.379507600848638,0.20710582095108745,0.3240519664883543,0.11534435836061639,0.02298677000507377,0.19675819964798202,0.03184926956683363,0.11760989190351565,0.11643046456991354,0.13015546924176974,0.16210147495283211,0.16457769172376863,0.21630618283269226,0.2123620159030699,0.14635421659724687,-0.018029258678432827,-0.007356311153096087,0.0419704316828715,0.31137125815030775
50%,0.6971408210989101,0.678016207127051,0.34967882994404736,0.6993537857659051,0.7030260927582247,0.21504593377630704,0.6998092189588956,0.2956463401343965,0.32665736893809105,0.1761498167750309,0.17998367649600025,0.8064899213158538,0.2185266928205925,0.7310732662407674,0.7822257183670096,0.7232731530086527,0.6927983582745237,0.6252553501847355,0.7491994580173165,0.6742941218344936,0.1760195527297783,0.16093222181397887,0.35655942806880075,0.16578739125628814,0.6522152041517084,0.626342446201646,0.6598233149735051,0.6240702845388763,0.72140745818305,0.3113396213286863,0.6462106323512806,0.17930304766805974,0.14558242491215698,0.10397631272635652,0.19416878590096875,0.39492768952012736
75%,0.9374111860005471,0.919222483823587,0.4439062023992691,0.9586323249599968,0.9454985059830376,0.5602490895144483,0.80591810271008,0.7512690304101232,0.8115860947667599,0.8181848985036779,0.44977184911912266,0.9377778159106168,0.323923657964565,0.8548470978825324,0.9223811620793126,0.954762031456605,0.9584022710261553,0.7458149792045305,0.8599017116689021,0.7599168739552258,0.7807761133676442,0.8176078541779641,0.5481704358944732,0.8317512481257923,0.9360513839303094,0.9187637059253091,0.9321393247826474,0.8804848664776326,0.9474750327279211,0.399160778677687,0.75612459142253,0.26731605620513077,0.7866759704939701,0.8150571695392602,0.7362348129173458,0.7835011834318371
max,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
