Feature,Importance
temp_min,0.4643425132560991
month_sin,0.1488257993965794
humidity_mean,0.10340757716956082
weighted_monthly_score,0.06631536975843784
temp_max,0.04071897003644484
morning_temp_mean,0.039071658244928135
evening_temp_mean,0.035914498691165274
afternoon_temp_mean,0.03489506898828817
temp_mean,0.033950152671978845
month_cos,0.03160182535323593
season_winter,0.0006814565590881842
season_summer,0.00027510987419334174
