Meter_location,Jan_2022,Feb_2022,Mar_2022,Apr_2022,May_2022,Jun_2022,Jul_2022,Aug_2022,Sep_2022,Oct_2022,Nov_2022,Dec_2022,Jan_2023,Feb_2023,Mar_2023,Apr_2023,May_2023,Jun_2023,Jul_2023,Aug_2023,Sep_2023,Oct_2023,Nov_2023,Dec_2023,Jan_2024,Feb_2024,Mar_2024,Apr_2024,May_2024,Jun_2024,Jul_2024,Aug_2024,Sep_2024,Oct_2024,Nov_2024,Dec_2024
F622 William James Building,35700.0,38762.0,42930.0,17469.0,21966.0,38372.0,32663.0,43930.0,38398.0,39156.35,40151.55,35862.79,40276.87,50803.46,43942.78,38830.98,44099.07,41773.18,43542.27,46036.35,42122.11,44819.71,39098.37,36145.15,38490.62,37572.1,41441.41,42112.64,48687.23,42831.1,46772.87,46779.01,43091.2,11397.25,0.0,0.0
F735 Ex Residence DHW,0.0,500.0,139.0,151.0,58.0,62.0,50.0,10.0,10.0,5.0,0.0,1.0,0.0,500.0,1000.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.5,0.0,0.0,94.0,1517.0,10.0,10.0,10.0,10.0,511.0,0.0,0.0,0.0
F742 Cory's container,63.0,76.0,78.0,108.0,360.0,428.0,497.0,443.0,143.0,214.0,121.0,73.0,29.0,201.0,165.8,118.2,300.0,415.0,604.0,647.0,690.0,527.0,267.0,143.0,92.7,181.8,182.5,319.0,1842.0,0.0,140.5,363.5,700.0,259.0,0.0,0.0
F743 Mico's container,134.0,186.0,197.0,132.0,247.0,435.0,472.0,287.0,230.0,258.0,219.0,133.0,162.0,146.0,210.6,134.2,282.2,329.0,430.0,440.0,269.0,202.0,164.0,163.0,135.6,158.0,160.4,175.9,513.1,694.8,795.5,704.6,577.1,389.0,0.0,0.0
F940 Plaza Café consumption,11230.51,11222.02,11149.67,9505.25,10076.81,9178.82,8094.19,9497.79,8411.68,7069.23,611.23,640.34,749.4,318.69,204.51,397.11,316.23,0.25,0.37,174.76,240.15,164.96,964.08,948.01,884.5,584.54,106.46,9.05,60.33,1854.98,2096.13,10125.74,8680.85,9555.34,0.0,0.0
F940 Plaza Pathway (North End) consumption,37857.06,36356.95,40319.26,35648.72,42658.86,39290.13,37577.48,46861.82,41084.57,39385.19,40649.64,38971.64,38589.16,38910.88,44927.3,40066.42,44839.87,38046.08,39507.44,44327.48,41996.85,38715.91,42414.23,37487.2,37066.86,34783.82,39981.66,31598.07,28408.17,24596.5,29619.83,44196.78,40627.63,45295.32,0.0,0.0
F940 Plaza Pathway (North end) excluding Plant,12887.0,11498.0,13228.0,13284.0,16417.0,15778.0,17818.0,19578.0,17930.0,14050.86,14392.72,12587.94,13753.39,14039.67,17060.68,13611.91,17669.29,15076.88,17318.17,17904.86,16582.22,14982.82,16526.53,12837.26,14770.1,14630.19,16547.33,11279.2,11541.52,8894.34,11855.82,18476.96,18935.48,20410.05,0.0,0.0
F940 Plaza plant consumption,87743.0,87696.0,95313.0,78157.0,84926.0,73934.0,60129.0,82604.0,71712.0,83503.53,79902.64,73847.1,73750.12,74247.44,83722.79,83928.59,80752.07,70744.22,65079.83,76981.26,75594.53,73802.09,76084.69,67736.75,63372.93,61600.49,69703.53,71964.35,60330.24,61090.31,63176.19,79224.72,64319.35,72326.91,0.0,0.0
F940 Plaza Unipol excluding Plant,28574.0,25515.0,29653.0,29597.0,32835.0,30150.0,32565.0,35728.0,33930.0,29739.68,29189.47,22438.45,26820.38,27757.64,34118.96,29437.81,34719.95,31359.21,33474.86,34189.66,32645.94,31544.98,31669.77,22114.22,26857.74,29841.8,32627.32,28665.67,29716.78,25038.91,29469.39,34204.41,33164.15,34604.38,0.0,0.0
F940 Unipol consumption,112657.72,110253.22,121339.45,103004.07,111369.74,97729.7,84075.15,110185.24,97557.39,108074.5,103927.69,93017.73,96355.0,97590.56,111872.07,108578.56,107941.18,95560.33,90233.95,103398.36,101268.6,98928.42,101350.2,86322.39,85154.19,85714.06,95737.94,95705.46,83695.06,82242.89,87674.84,105547.05,88693.22,98990.57,0.0,0.0
G411 St Davids Lecture Theatre solar total,2438.0,1999.0,2191.0,1804.0,1278.0,801.0,889.0,1524.0,1715.0,2300.73,2252.85,2192.22,2409.46,2301.85,1971.62,1659.54,1142.34,975.09,971.15,1444.95,1649.89,2418.62,2138.76,2145.75,2306.71,2042.54,2095.93,1328.45,1107.4,819.62,1004.38,1595.22,1832.43,631.36,0.0,0.0
G411 St Davids Lecture Theatre total,84901.0,82474.0,92341.0,82833.0,89533.0,92233.0,97379.0,95927.0,94486.0,95380.99,95714.56,91228.93,85665.03,95443.97,107735.93,92261.63,106396.42,98969.6,102838.53,98419.72,101756.28,97975.68,86062.72,87345.16,73068.93,81381.11,99431.17,87911.94,102650.37,103097.21,96348.8,102203.65,92237.44,97812.61,0.0,0.0
G413 Science 2 Building,94060.0,89321.0,100710.0,98267.0,108243.0,122504.0,123791.0,126582.0,103741.0,105044.54,94395.45,82378.62,84995.32,81219.65,93621.7,87008.45,88837.69,93544.7,97518.4,104646.65,95825.79,98596.03,84772.16,79725.63,85110.14,85531.21,94107.7,84648.25,98085.44,93342.33,94507.08,95048.33,93451.14,103216.0,0.0,0.0
G502 Clocktower Total,26271.0,26175.0,29213.0,33531.0,50880.0,67568.0,72173.0,66167.0,57451.0,51657.73,34892.16,31482.88,26571.91,25906.43,36382.98,38860.42,56906.37,66089.47,71480.31,77255.42,53795.46,47021.69,40597.62,29910.53,27982.97,28567.68,38603.27,43576.58,63397.76,56589.44,68226.44,65053.83,52160.77,25628.41,0.0,0.0
G505 Geology Building,28621.0,28892.0,33641.0,39807.0,55957.0,66618.0,73871.0,67998.0,63199.0,56015.49,35531.78,29163.9,23766.53,25188.35,36283.39,41475.33,50883.96,62458.24,68721.54,71842.05,55145.86,47681.53,37907.84,28555.39,24623.75,26902.91,38980.74,44925.7,63772.8,59797.38,63965.44,64561.92,52679.04,13483.77,0.0,0.0
G507 Allen Hall - DB,1170.0,1950.0,2420.0,5040.0,6030.0,8280.0,8940.0,7680.0,6580.0,4600.0,1480.0,1870.0,560.0,700.0,2270.0,3460.0,6340.0,7340.0,6790.0,8820.0,6960.0,3800.0,880.0,600.0,850.0,1340.0,3640.0,5810.0,8000.0,6000.0,10450.0,8430.0,7120.0,7430.0,0.0,0.0
G507 Archway Building east - DB,1620.0,2100.0,2650.0,4110.0,4570.0,6500.0,7610.0,6300.0,5710.0,5050.0,2680.0,2740.0,1780.0,1780.0,2550.0,4070.0,5000.0,4650.0,5630.0,6200.0,5320.0,4350.0,3520.0,1600.0,2900.0,2200.0,3160.0,3490.0,5000.0,5000.0,4960.0,5410.0,4630.0,5060.0,0.0,0.0
H509 Childcare Total Electricity,5176.01,6709.96,6843.91,5352.23,6422.18,6110.05,8576.16,8646.13,8037.59,7536.76,7020.46,6611.23,5650.79,5733.4,7647.77,7004.78,8329.26,8198.28,8583.74,8960.62,7893.45,7860.86,7458.87,6506.2,6467.77,6614.81,7642.71,8389.2,9307.71,7930.23,6090.23,8698.62,7641.67,3998.52,0.0,0.0
XW00 Wellington Electricity - kWh,99740.0,87429.0,91850.0,76575.0,69086.0,61839.0,58987.0,54455.0,52641.0,55629.05,56580.61,53860.61,53637.64,53036.54,52067.33,50571.26,55275.26,66306.05,56815.62,68331.78,66684.42,9236.74,57678.85,369739.01,85172.73,83985.92,69996.03,64796.41,71891.71,65693.95,68380.41,64479.74,58550.53,75774.21,0.0,0.0
