Building,2022-01-01 00:00:00,2022-02-01 00:00:00,2022-03-01 00:00:00,2022-04-01 00:00:00,2022-05-01 00:00:00,2022-06-01 00:00:00,2022-07-01 00:00:00,2022-08-01 00:00:00,2022-09-01 00:00:00,2022-10-01 00:00:00,2022-11-01 00:00:00,2022-12-01 00:00:00,2023-01-01 00:00:00,2023-02-01 00:00:00,2023-03-01 00:00:00,2023-04-01 00:00:00,2023-05-01 00:00:00,2023-06-01 00:00:00,2023-07-01 00:00:00,2023-08-01 00:00:00,2023-09-01 00:00:00,2023-10-01 00:00:00,2023-11-01 00:00:00,2023-12-01 00:00:00,2024-01-01 00:00:00,2024-02-01 00:00:00,2024-03-01 00:00:00,2024-04-01 00:00:00,2024-05-01 00:00:00,2024-06-01 00:00:00,2024-07-01 00:00:00,2024-08-01 00:00:00,2024-09-01 00:00:00,2024-10-01 00:00:00,2024-11-01 00:00:00,2024-12-01 00:00:00,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00
,5114.0,5381.0,6335.0,6787.0,7498.0,6408.0,6561.0,6472.0,5902.0,6249.1201171875,5517.087890625,5376.42,4513.5,4432.96,4795.49,5481.79,6556.61,6935.39,6326.3,6427.78,5212.54,5428.58,5150.75,4830.82,4856.1,4842.02,5746.62,5640.54,6599.87,5937.92,6432.9,6718.34,5989.86,5994.37,8271.0,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,8879.0,8670.0,9454.0,9096.0,10103.0,10012.0,9492.0,9798.0,9206.0,9364.0322265625,9035.51953125,8808.9,8855.65,8601.54,10455.94,9755.9,10627.1,10734.82,11402.02,8788.0,8499.78,9807.62,10440.45,9813.18,10289.25,10022.08,10525.44,10182.14,10639.23,9949.38,10963.33,10538.24,10371.33,10032.32,14171.0,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,12104.0,14404.0,17455.0,17140.0,22274.0,21314.0,24613.0,9897.0,756.0,937.0239868164062,13437.4404296875,13413.7,14031.49,14929.47,19036.54,19597.82,24000.38,24622.85,25710.08,27080.32,21895.68,18818.43,17333.12,13928.45,13746.3,15735.68,19375.36,19452.54,25680.38,23465.47,28154.62,25993.73,23692.03,24419.58,34162.00866666667,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,14369.0,14861.0,17637.0,18882.0,25238.0,27678.0,30053.0,27627.0,24910.0,22742.720703125,17897.408203125,14253.76,14235.46,15069.89,20122.24,20698.69,25485.63,27192.96,30105.6,31673.09,25206.14,22557.18,18572.54,14704.9,14780.93,15950.08,20766.21,23775.62,32501.5,28111.74,32086.78,30530.05,25539.84,22097.66,44998.342000000004,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,21091.0,20059.0,22396.0,20254.0,22365.0,22003.0,24817.0,9024.0,417.0,509.5679931640625,20268.80078125,22713.22,23798.14,21360.13,23179.78,23175.04,26956.42,26894.34,28259.07,29161.34,26877.31,26764.16,25636.35,25141.12,25527.94,24535.3,25483.9,23337.98,25795.97,24505.6,27120.9,27272.32,23467.9,22226.05,44998.342000000004,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,28653.0,25394.0,29344.0,28250.0,32252.0,32241.0,33959.0,35078.0,32077.0,29914.3671875,28917.50390625,27600.64,28985.34,27613.95,31138.05,29485.31,33795.07,33431.04,32887.55,33755.39,31286.02,31156.99,29353.22,27314.94,28573.7,27503.1,29511.42,28188.67,32103.17,29213.7,32130.82,30730.75,28861.7,7539.2,44606.00866666667,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,91748.0,87307.0,98113.0,95227.0,100893.0,95433.0,97888.0,97029.0,94352.0,93953.0234375,86806.53125,85681.15,85189.63,78675.97,90477.57,87940.09,85538.81,78493.7,77831.17,81759.23,75276.29,73930.75,72136.7,68659.2,66164.73,64257.02,68914.18,65534.98,70169.6,69675.01,77119.48,80035.84,73387.01,19621.89,90059.66666666667,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,76.0,52.0,98.0,41.0,36.0,19881.0,58.0,1529.0,78.0,150.32000732421875,27.856000900268555,156.72,865.2,142.94,128.02,25.36,42.02,72.19,2058.98,2994.59,135.41,105.89,1000.69,1.39,52.83,55.36,798.13,1107.47,439.49,89.33,1901.39,1905.63,788.67,1307.01,575.6513333333334,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,3807.0,4199.0,4627.0,3029.0,4520.0,3696.0,3802.0,4439.0,5923.0,5098.81591796875,4171.8720703125,4651.58,4522.82,4121.92,5116.77,3887.36,5770.27,4726.4,4289.92,4499.58,4995.78,3754.75,3849.54,4334.66,4945.34,4467.78,4418.56,4222.98,4613.76,4994.69,6460.16,6169.79,5917.7,6097.09,8271.0,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,253.0,219.0,778.0,273.0,335.0,444.0,685.0,654.0,812.0,310.6000061035156,350.2239990234375,273.88,309.07,262.36,284.05,226.69,375.68,273.5,348.15,377.45,262.98,255.2,267.87,224.4,253.62,274.65,237.96,227.48,434.5,266.54,351.5,323.14,221.95,64.04,575.6513333333334,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,3502.0,3241.0,3249.0,3462.0,3678.0,3688.0,4011.0,3809.0,3419.0,3825.60009765625,3688.864013671875,3674.59,3276.35,3185.5,3617.34,3566.82,3671.68,3821.34,3728.1,3730.02,3571.71,3663.49,3620.48,3678.05,3712.8,3313.47,3761.02,3582.24,3757.6,3591.71,3707.01,3730.56,3621.15,950.82,3158.6666666666665,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,164180.0,149602.0,177818.0,155541.0,167472.0,145685.0,169574.0,165825.0,158437.0,161771.015625,166179.84375,170644.98,190557.7,184961.03,188635.64,165298.69,178835.45,164442.11,177967.61,184457.73,179001.34,183073.8,153398.78,148269.06,158046.2,160465.41,173361.16,173564.92,178383.88,154830.84,168794.11,168142.84,165310.47,180589.56,177331.174,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,16498.0,16500.0,20115.0,18237.0,20832.0,20080.0,21741.0,21851.0,20036.0,19509.18359375,18446.9765625,16926.78,16632.32,17217.28,20357.38,19226.88,20958.53,19799.62,21539.58,22526.21,21125.7,21416.58,19281.73,18332.48,18643.2,18689.22,20537.34,19504.7,22572.86,20206.08,22438.53,22280.06,21206.02,21792.77,23508.008666666665,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,7477.0,7532.0,9643.0,8543.0,9954.0,9004.0,9639.0,10331.0,9754.0,9666.240234375,8584.2880859375,7986.69,7375.68,7689.66,9766.72,8987.55,9893.25,8774.91,9946.62,10495.23,10231.33,10286.11,8823.84,8553.47,8099.81,8900.42,10108.51,9984.7,10873.86,9164.03,10127.2,10591.55,9880.83,10139.14,14171.0,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,10041.0,6817.0,13943.0,6960.0,12405.0,9932.0,11114.0,11903.0,11093.0,11257.7275390625,7026.97607421875,7107.42,4910.69,2367.84,5991.81,3267.81,7529.86,8101.34,11984.74,12776.99,11111.04,11029.7,6548.64,2186.21,1642.72,2708.54,3976.7,3775.87,4930.85,3267.01,4135.58,4775.52,4111.62,6683.2,8271.0,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,1480.0,1613.0,1913.0,1708.0,2345.0,2338.0,2309.0,2932.0,2547.0,2259.30810546875,2062.89990234375,1511.36,1147.61,1623.08,2174.34,1674.28,2301.68,2245.09,2262.46,2753.65,2267.97,2389.31,1752.18,1179.06,1038.23,1265.11,1518.0,1825.18,2202.74,1749.58,1985.77,2376.93,2119.18,2276.62,1389.0,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,3663.0,3149.0,4388.0,4215.0,4655.0,4388.0,5003.0,5168.0,4673.0,4961.416015625,4157.2958984375,3627.49,3475.92,3450.27,4956.43,3638.98,4680.03,4088.13,4616.48,4356.05,4239.5,4977.54,3685.02,3550.08,3879.47,4118.93,4744.96,4777.81,5582.59,4587.01,5287.63,5642.43,5284.59,5450.35,5542.0,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,42775.0,38312.0,42086.0,40570.0,41281.0,41348.0,52924.0,44361.0,41295.0,40200.57421875,48480.640625,62689.41,89843.97,73717.89,65578.49,62458.75,63534.21,63189.89,65925.12,66580.09,61810.69,61390.21,39871.62,36242.18,40289.15,45650.18,52236.29,60773.89,58973.44,45013.76,53472.77,48980.48,47719.68,53675.52,67024.342,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,17665.0,16694.0,19248.0,19773.0,20725.0,19638.0,22788.0,19705.0,19592.0,19175.0390625,18737.087890625,18983.87,18698.94,17422.53,18966.72,18244.22,19925.25,20005.38,22600.38,24012.42,21889.22,21513.98,19712.51,18827.84,18480.83,18093.12,22619.65,23244.54,24523.26,21910.21,21063.1,21603.9,20285.76,21465.73,23508.008666666665,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
