,,Month,F204 444 Great King Street - kWh,F813 Bill Robertson Library 1 MSB:,F419 ISB West Excluding Shops,F505 Richardson Library Block Rising Main:,F518 Arts 1 Submains MSB:,"F516 97 Albany & F517 99 Albany, F513 262 Leith Walk:",F614 1 School of Business Incomer 1 (Lower floors):,F614 2 School of Business Incomer 2 (Upper floors):,F618 1  Psychology substation- Goddard:,F505 1 Richardson Mains:,G506/07 Archway buildings (incl. Allen & Marama Hall):,F315 Botany Tin Hut - kWh,F325 Physical Education - kWh,F711 Executive Residence - kWh,F812 UOCOE Owheo Building - kWh,F813 UOCOE Robertson Library - kWh,F940 Plaza Building - kWh,F9XX College of Education main (Boiler room) - kWh,G401 Mellor Laboratories - kWh,G505 Geology north:,G505 Geology south:,G403 Biochemistry - kWh,G404 Microbiology - kWh,G413 Science 2 - kWh,G608 St Margarets College - kWh,G60X UNICOL - kWh,H41X Selwyn College - kWh E2,H633 Arana College main - kWh,H71X Studholm College - kWh E2
F618 1  Psychology substation- Goddard:,31,Aug-24,,,,,,,,,114256.9,,,,,,,,,,,,,,,,,,,,
F505 1 Richardson Mains:,7,Aug-22,,,,,,,,,,74224.0,,,,,,,,,,,,,,,,,,,
F505 1 Richardson Mains:,19,Aug-23,,,,,,,,,,72911.62,,,,,,,,,,,,,,,,,,,
F505 1 Richardson Mains:,28,May-24,,,,,,,,,,74567.68,,,,,,,,,,,,,,,,,,,
G506/07 Archway buildings (incl. Allen & Marama Hall):,5,Jun-22,,,,,,,,,,,35370.0,,,,,,,,,,,,,,,,,,
G506/07 Archway buildings (incl. Allen & Marama Hall):,6,Jul-22,,,,,,,,,,,36617.0,,,,,,,,,,,,,,,,,,
G506/07 Archway buildings (incl. Allen & Marama Hall):,7,Aug-22,,,,,,,,,,,36603.0,,,,,,,,,,,,,,,,,,
G506/07 Archway buildings (incl. Allen & Marama Hall):,18,Jul-23,,,,,,,,,,,34456.06,,,,,,,,,,,,,,,,,,
G506/07 Archway buildings (incl. Allen & Marama Hall):,19,Aug-23,,,,,,,,,,,39190.02,,,,,,,,,,,,,,,,,,
G506/07 Archway buildings (incl. Allen & Marama Hall):,28,May-24,,,,,,,,,,,35089.41,,,,,,,,,,,,,,,,,,
G506/07 Archway buildings (incl. Allen & Marama Hall):,30,Jul-24,,,,,,,,,,,32735.74,,,,,,,,,,,,,,,,,,
F315 Botany Tin Hut - kWh,5,Jun-22,,,,,,,,,,,,49167.004,,,,,,,,,,,,,,,,,
F315 Botany Tin Hut - kWh,6,Jul-22,,,,,,,,,,,,53740.892,,,,,,,,,,,,,,,,,
F315 Botany Tin Hut - kWh,18,Jul-23,,,,,,,,,,,,49414.532,,,,,,,,,,,,,,,,,
F315 Botany Tin Hut - kWh,19,Aug-23,,,,,,,,,,,,52117.708,,,,,,,,,,,,,,,,,
F315 Botany Tin Hut - kWh,29,Jun-24,,,,,,,,,,,,47224.96,,,,,,,,,,,,,,,,,
F315 Botany Tin Hut - kWh,30,Jul-24,,,,,,,,,,,,52179.888,,,,,,,,,,,,,,,,,
F325 Physical Education - kWh,5,Jun-22,,,,,,,,,,,,,52347.808,,,,,,,,,,,,,,,,
F325 Physical Education - kWh,6,Jul-22,,,,,,,,,,,,,56881.52,,,,,,,,,,,,,,,,
F325 Physical Education - kWh,7,Aug-22,,,,,,,,,,,,,51578.512,,,,,,,,,,,,,,,,
F325 Physical Education - kWh,8,Sep-22,,,,,,,,,,,,,49572.64,,,,,,,,,,,,,,,,
F325 Physical Education - kWh,18,Jul-23,,,,,,,,,,,,,54850.112,,,,,,,,,,,,,,,,
F325 Physical Education - kWh,19,Aug-23,,,,,,,,,,,,,57357.6,,,,,,,,,,,,,,,,
F325 Physical Education - kWh,28,May-24,,,,,,,,,,,,,50648.768,,,,,,,,,,,,,,,,
F325 Physical Education - kWh,30,Jul-24,,,,,,,,,,,,,51708.608,,,,,,,,,,,,,,,,
F711 Executive Residence - kWh,5,Jun-22,,,,,,,,,,,,,,24373.986,,,,,,,,,,,,,,,
F711 Executive Residence - kWh,6,Jul-22,,,,,,,,,,,,,,20747.556,,,,,,,,,,,,,,,
F711 Executive Residence - kWh,17,Jun-23,,,,,,,,,,,,,,19802.706,,,,,,,,,,,,,,,
F711 Executive Residence - kWh,18,Jul-23,,,,,,,,,,,,,,26899.542,,,,,,,,,,,,,,,
F711 Executive Residence - kWh,19,Aug-23,,,,,,,,,,,,,,29937.318,,,,,,,,,,,,,,,
F711 Executive Residence - kWh,20,Sep-23,,,,,,,,,,,,,,24582.672,,,,,,,,,,,,,,,
F711 Executive Residence - kWh,21,Oct-23,,,,,,,,,,,,,,20931.48,,,,,,,,,,,,,,,
F711 Executive Residence - kWh,30,Jul-24,,,,,,,,,,,,,,19362.024,,,,,,,,,,,,,,,
F812 UOCOE Owheo Building - kWh,4,May-22,,,,,,,,,,,,,,,34572.55,,,,,,,,,,,,,,
F812 UOCOE Owheo Building - kWh,6,Jul-22,,,,,,,,,,,,,,,34543.1,,,,,,,,,,,,,,
F812 UOCOE Owheo Building - kWh,7,Aug-22,,,,,,,,,,,,,,,34779.42,,,,,,,,,,,,,,
F812 UOCOE Owheo Building - kWh,8,Sep-22,,,,,,,,,,,,,,,35788.38,,,,,,,,,,,,,,
F812 UOCOE Owheo Building - kWh,9,Oct-22,,,,,,,,,,,,,,,35880.81,,,,,,,,,,,,,,
F812 UOCOE Owheo Building - kWh,14,Mar-23,,,,,,,,,,,,,,,34745.93,,,,,,,,,,,,,,
F812 UOCOE Owheo Building - kWh,16,May-23,,,,,,,,,,,,,,,33584.73,,,,,,,,,,,,,,
F813 UOCOE Robertson Library - kWh,2,Mar-22,,,,,,,,,,,,,,,,45788.83,,,,,,,,,,,,,
F813 UOCOE Robertson Library - kWh,3,Apr-22,,,,,,,,,,,,,,,,44075.01,,,,,,,,,,,,,
F813 UOCOE Robertson Library - kWh,4,May-22,,,,,,,,,,,,,,,,46953.25,,,,,,,,,,,,,
F813 UOCOE Robertson Library - kWh,9,Oct-22,,,,,,,,,,,,,,,,44243.34,,,,,,,,,,,,,
F940 Plaza Building - kWh,2,Mar-22,,,,,,,,,,,,,,,,,141535.574,,,,,,,,,,,,
F940 Plaza Building - kWh,4,May-22,,,,,,,,,,,,,,,,,137722.263,,,,,,,,,,,,
F940 Plaza Building - kWh,7,Aug-22,,,,,,,,,,,,,,,,,141536.911,,,,,,,,,,,,
F940 Plaza Building - kWh,14,Mar-23,,,,,,,,,,,,,,,,,134667.155,,,,,,,,,,,,
F940 Plaza Building - kWh,31,Aug-24,,,,,,,,,,,,,,,,,135836.726,,,,,,,,,,,,
F9XX College of Education main (Boiler room) - kWh,6,Jul-22,,,,,,,,,,,,,,,,,,78874.864,,,,,,,,,,,
F9XX College of Education main (Boiler room) - kWh,7,Aug-22,,,,,,,,,,,,,,,,,,78104.032,,,,,,,,,,,
F9XX College of Education main (Boiler room) - kWh,18,Jul-23,,,,,,,,,,,,,,,,,,77915.088,,,,,,,,,,,
F9XX College of Education main (Boiler room) - kWh,19,Aug-23,,,,,,,,,,,,,,,,,,78235.904,,,,,,,,,,,
F9XX College of Education main (Boiler room) - kWh,28,May-24,,,,,,,,,,,,,,,,,,82209.056,,,,,,,,,,,
F9XX College of Education main (Boiler room) - kWh,30,Jul-24,,,,,,,,,,,,,,,,,,84013.04,,,,,,,,,,,
F9XX College of Education main (Boiler room) - kWh,31,Aug-24,,,,,,,,,,,,,,,,,,88879.216,,,,,,,,,,,
