Building_Code,1,2,3,4,5,6,7,8,9,10,11,12
F204,2878.2933333333335,1582.7133333333331,2383.936666666667,3372.7666666666664,5401.823333333334,6443.349999999999,8989.906666666668,8635.973333333333,9231.496666666666,7264.34,5618.263333333333,4160.39
F402,3088.603333333334,2446.94,3666.7066666666665,7274.056666666666,6242.866666666666,8504.666666666666,6831.533333333333,5384.583333333333,8652.82,8131.003333333334,8058.746666666666,5707.743333333333
F405,0.0,0.0,1220.37,530.6999999999999,7613.613333333334,17889.64,31022.86,23629.903333333332,19030.246666666666,20100.533333333333,17220.206666666665,10709.699999999999
F512,9190.24,7934.573333333334,4814.61,8387.143333333333,13231.659999999998,16557.62,22891.343333333334,21773.88666666667,23305.576666666664,19126.146666666667,11142.463333333333,12636.423333333334
F516,1963.68,1292.2033333333334,1302.4733333333334,1889.8100000000002,3107.73,3598.0499999999997,4231.52,5539.07,5303.703333333334,4359.733333333334,3803.98,2692.4166666666665
F603,567.3166666666667,231.50333333333333,428.77666666666664,1706.4566666666667,1897.4800000000002,2393.9266666666667,3008.0033333333336,2329.2433333333333,4477.803333333333,2383.346666666667,1190.1766666666665,847.6
F620,2794.933333333333,3313.8233333333333,4386.9800000000005,3868.0933333333337,3891.6766666666667,4092.1566666666663,3927.0533333333333,4162.916666666667,3632.2333333333336,3655.816666666667,3767.85,3856.2966666666666
F916,91155.54333333333,80517.99,54723.756666666675,70481.21333333333,109941.27999999998,13588.396666666667,76459.43666666666,142028.44333333333,23686.173333333336,1509.5,9122.86,24509.539999999997
F940,3259.908888888889,4044.2405555555556,4174.451666666667,5438.99,4887.853888888889,4735.349444444445,4718.435,37186.96388888889,35787.99388888889,22509.783333333333,13870.341666666667,14351.712222222222
G403,44.199999999999996,38.89333333333334,46.32333333333333,47.14666666666667,67.89,37.71666666666667,55.27333333333334,2109.9666666666667,6588.483333333333,7306.38,96.35333333333334,76.73
G404,14917.223333333333,14813.248333333331,18175.281666666666,17563.79333333333,18126.68,18346.495,20295.016666666666,504514.97500000003,17733.983333333334,16680.095,17874.635,16708.153333333332
G412,146384.22333333333,15590.123333333331,12183.646666666667,5634.240000000001,7595.053333333333,23988.406666666666,49971.04,12223.573333333334,20654.306666666667,1508.4433333333334,20557.97333333333,6986.696666666667
G501,265.19,624.6666666666666,1013.6133333333333,914.57,1466.2366666666667,1567.5633333333333,1874.0066666666664,2039.0133333333333,1555.7766666666666,1754.0900000000001,1449.7,742.5300000000001
G601,60.91,121.82,333.94666666666666,910.84,851.2599999999999,1136.8133333333333,1099.8333333333333,765.4666666666667,1110.4399999999998,1076.1666666666667,1084.2866666666666,761.56
G608,15717.413333333336,9488.943333333335,8531.533333333333,3559.126666666667,3493.35,4604.213333333333,14185.029999999999,13599.136666666667,6356.240000000001,8936.9,11697.476666666667,6005.776666666668
