Building_Code,2022,2023,2024
F204,,-29.28102492642102,-6.47002492084029
F402,,131.1489505313498,2.2577528125680146
F405,,6.864009645620461,15.610388476484683
F512,,-4.951876847155434,8.629408891394853
F516,,-0.6030946754015831,-16.882763032990724
F603,,-3.373281727998434,32.659690773213136
F620,,-11.620974784117987,-53.843548539573916
F916,,19.119838487540708,51.46289023582102
F940,,25.84274473904864,-5.083196264373068
G403,,-23.340681168548038,7497.601630512064
G404,,3.8047314177317437,648.5396888687051
G412,,165.61993714610225,-77.38314223445842
G501,,3.7849074716751696,8.429679691336744
G601,,-36.64689281339205,-0.2940773738301927
G608,,96.40404229810953,153.48054966043603
