Meter_location,Jan_2022,Feb_2022,Mar_2022,Apr_2022,May_2022,Jun_2022,Jul_2022,Aug_2022,Sep_2022,Oct_2022,Nov_2022,Dec_2022,Jan_2023,Feb_2023,Mar_2023,Apr_2023,May_2023,Jun_2023,Jul_2023,Aug_2023,Sep_2023,Oct_2023,Nov_2023,Dec_2023,Jan_2024,Feb_2024,Mar_2024,Apr_2024,May_2024,Jun_2024,Jul_2024,Aug_2024,Sep_2024,Oct_2024,Nov_2024,Dec_2024
E811 Te Rangihiroa SE Riser DB.TRH1A Power Non-Essential,0.0,0.0,0.0,0.0,0.0,0.0,0.88,1.18,1.21,116.95,20.25,8.69,22.88,96.52,213.84,176.2,219.36,126.82,0.88,1.18,1.21,116.95,20.25,8.69,45.77,193.03,427.68,352.41,438.73,253.64,301.82,458.54,404.54,467.37,0.0,0.0
E811 Te Rangihiroa SE Riser DB.TRH2A Lighting Essential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,214.77,255.19,181.61,104.14,84.93,134.32,216.04,207.13,205.22,186.56,70.43,0.09,214.77,255.19,181.61,104.14,169.86,268.64,432.08,414.26,410.45,373.13,140.86,450.48,422.0,446.13,0.0,0.0
E811 Te Rangihiroa SE Riser DB.TRH2A Lighting Non-Essential,0.0,0.0,0.0,0.0,0.0,0.0,6.65,162.73,107.15,27.96,37.6,0.64,7.5,26.26,77.28,87.66,94.94,62.74,6.65,162.73,107.15,27.96,37.6,0.64,15.01,52.52,154.56,175.31,189.88,125.48,113.8,189.24,181.03,170.96,0.0,0.0
E811 Te Rangihiroa SE Riser DB.TRH2A Power Non-Essential,0.0,0.0,0.0,0.0,0.0,0.0,1.14,1.08,2.05,115.26,11.6,8.96,28.26,102.51,207.44,183.25,202.82,64.32,1.14,1.08,2.05,115.26,11.6,8.96,56.52,205.02,414.89,366.5,405.65,128.63,270.77,386.15,343.77,368.54,0.0,0.0
E811 Te Rangihiroa SE Riser DB.TRH3A Lighting Essential,0.0,0.0,0.0,0.0,0.0,0.0,10.44,76.62,221.24,281.29,144.25,163.43,101.15,157.51,229.54,125.96,24.46,0.0,10.44,76.62,221.24,281.29,144.25,163.43,202.3,315.02,459.08,251.92,48.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E811 Te Rangihiroa SE Riser DB.TRH3A Lighting Non-Essential,0.0,0.0,0.0,0.0,0.0,0.0,6.55,149.41,112.32,86.41,32.77,0.04,4.75,28.69,78.81,81.28,97.5,63.02,6.55,149.41,112.32,86.41,32.77,0.04,9.5,57.38,157.61,162.57,195.01,126.05,113.68,184.81,166.01,160.05,0.0,0.0
E811 Te Rangihiroa SE Riser DB.TRH3A Power Non-Essential,0.0,0.0,0.0,0.0,0.0,0.0,1.47,1.34,1.49,114.4,9.62,8.28,40.24,114.06,183.8,120.99,192.5,68.0,1.47,1.34,1.49,114.4,9.62,8.28,80.49,228.13,367.6,241.98,384.99,136.0,265.94,361.08,351.36,378.71,0.0,0.0
E811 Te Rangihiroa SE Riser DB.TRH4A Lighting Essential,0.0,0.0,0.0,0.0,0.0,0.0,15.94,119.33,226.23,278.15,172.91,108.68,91.5,137.68,236.48,231.54,242.96,133.45,15.94,119.33,226.23,278.15,172.91,108.68,183.0,275.35,472.96,463.07,485.92,266.9,402.73,124.19,0.0,0.0,0.0,0.0
E811 Te Rangihiroa SE Riser DB.TRH4A Lighting Non-Essential,0.0,0.0,0.0,0.0,0.0,0.0,17.71,150.23,70.98,83.54,21.23,3.38,7.1,29.73,87.3,96.46,87.37,51.98,17.71,150.23,70.98,83.54,21.23,3.38,14.19,59.46,174.59,192.93,174.74,103.96,97.11,208.54,163.83,180.42,0.0,0.0
E811 Te Rangihiroa SE Riser DB.TRH4A Power Non-Essential,0.0,0.0,0.0,0.0,0.0,0.0,1.49,1.8,3.26,122.79,11.97,13.26,25.04,80.4,189.94,131.72,192.32,93.08,1.49,1.8,3.26,122.79,11.97,13.26,50.08,160.79,379.89,263.44,384.63,186.15,231.18,391.86,336.33,360.79,0.0,0.0
E811 Te Rangihiroa SE Riser DB.TRH5A Lighting Essential,0.0,0.0,0.0,0.0,0.0,0.0,12.73,194.95,246.16,370.23,196.4,107.86,107.74,137.92,240.1,206.2,221.98,167.59,12.73,194.95,246.16,370.23,196.4,107.86,215.47,275.83,480.2,412.4,443.95,335.18,396.01,448.09,413.82,443.85,0.0,0.0
E811 Te Rangihiroa SE Riser DB.TRH5A Lighting Non-Essential,0.0,0.0,0.0,0.0,0.0,0.0,0.4,3.43,50.37,32.02,10.0,1.24,6.39,22.0,60.64,66.88,82.12,68.92,0.4,3.43,50.37,32.02,10.0,1.24,12.78,44.0,121.29,133.75,164.25,137.83,119.17,43.77,0.0,0.0,0.0,0.0
E811 Te Rangihiroa SE Riser DB.TRH5A Power Non-Essential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.05,0.36,1.74,4.13,2.11,6.21,18.81,41.14,42.41,27.78,30.19,40.05,112.05,0.36,1.74,4.13,2.11,12.42,37.62,82.27,84.82,55.56,60.38,80.1,88.63,104.01,101.47,0.0,0.0
E811 Te Rangihiroa Rising Main South-West,0.0,0.0,0.0,0.0,0.0,0.0,78.39,1422.97,2743.64,2479.12,1614.34,1242.94,859.92,1362.33,2481.97,2481.55,2827.35,2204.18,78.39,1422.97,2743.64,2479.12,1614.34,1242.94,1719.83,2724.66,4963.94,4963.11,5654.7,4408.35,4555.53,5724.1,5202.9,5803.48,0.0,0.0
E811 Te Rangihiroa SW Riser DB.TRH1B Lighting Essential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.2,301.35,202.93,156.06,114.43,155.66,243.61,232.85,245.66,192.46,198.69,240.8,200.2,301.35,202.93,156.06,228.86,311.33,487.22,465.7,491.31,384.92,397.38,481.6,447.98,470.97,0.0,0.0
E811 Te Rangihiroa SW Riser DB.TRH1B Lighting Non-Essential,0.0,0.0,0.0,0.0,0.0,0.0,21.85,242.8,233.39,74.56,123.44,20.37,19.08,53.45,142.07,145.04,173.41,116.56,21.85,242.8,233.39,74.56,123.44,20.37,38.15,106.9,284.14,290.09,346.82,233.13,222.08,331.02,270.57,340.21,0.0,0.0
E811 Te Rangihiroa SW Riser DB.TRH1B Power Essential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.44,41.61,40.34,41.31,20.65,19.24,19.78,18.86,19.58,18.9,19.75,19.64,21.44,41.61,40.34,41.31,41.3,38.48,39.56,37.72,39.15,37.79,39.5,39.27,37.72,38.86,0.0,0.0
