Meter_location,Jan_2022,Feb_2022,Mar_2022,Apr_2022,May_2022,Jun_2022,Jul_2022,Aug_2022,Sep_2022,Oct_2022,Nov_2022,Dec_2022,Jan_2023,Feb_2023,Mar_2023,Apr_2023,May_2023,Jun_2023,Jul_2023,Aug_2023,Sep_2023,Oct_2023,Nov_2023,Dec_2023,Jan_2024,Feb_2024,Mar_2024,Apr_2024,May_2024,Jun_2024,Jul_2024,Aug_2024,Sep_2024,Oct_2024,Nov_2024,Dec_2024
"F402,UNIVERSITY UNION BUILDING,660",48.22,48.22,125.95,3019.06,3376.58,4171.07,5680.6,3495.75,5124.46,5045.01,4290.24,4687.49,4528.59,4845.66,4101.17,9127.11,7559.02,10252.93,7528,7559,9202,9337,9640,6728,4689,2446.94,6773,9676,7793,11090,7286,5099,11632,10011,10246,5707.74
"F405,SMITHELL'S GYMNASIUM,690 CUMBERLAND",0,0,1220.37,169.5,6237.43,14678.29,33051.58,24610.71,9152.74,21627.6,17254.62,7254.4,0,0,1220.37,891.9,6140.41,14064.63,27911,23807,23417,16271,16653,14165,0,0,1220.37,530.7,10463,24926,32106,22472,24521,22403,17753,10709.7
"F512,INFORMATION TECHNOLOGY BLDG,270 LEITH",6594.87,6594.87,5208.26,7744.75,13697.05,17045.22,27969.03,25973.66,23707.73,21509.44,3531.39,12390.85,12390.85,12390.85,3283.57,5854.68,13629.93,12669.64,17327,20565,22678,15768,14012,12882,8585,4818,5952,11562,12368,19958,23378,18783,23531,20101,15884,12636.42
"F516/17,HUMANITIES,97-99/ALBANY",1459.92,1459.92,1733.65,1976.97,2828.59,3102.32,4805.56,6539.21,5505.11,5292.2,3953.94,2919.83,2281.12,1003.69,1155.77,2159.46,4075.6,4531.83,4800,5718,5450,3589,4097,2465,2150,1413,1018,1533,2419,3160,3089,4360,4956,4198,3361,2692.42
"F603,PROPERTY SERVICES BLDG,111 ALBANY",368.44,368.44,736.89,884.26,2394.88,2505.41,2837.01,773.73,4163.41,2358.04,1768.53,663.2,589.51,221.07,368.44,921.11,1400.08,1805.37,2630,2383,4637,1769,1397,1032,744,105,181,3314,1897.48,2871,3557,3831,4633,3023,405,847.6
F620 Psychology 2 Gas meter,2794.93,4457.74,5943.65,5059.18,4634.63,5200.7,5943.65,6085.17,5200.7,4457.74,4953.04,4634.63,3927.06,4422.36,5377.59,5448.35,5342.21,5306.83,4599.25,4846.91,3785.54,3750.16,2582.66,3077.96,1662.81,1061.37,1839.7,1096.75,1698.19,1768.94,1238.26,1556.67,1910.46,2759.55,3767.85,3856.3
"F62X,PSYCHOLOGY (WILLIAM JAMES BLDG),275",72668.22,72668.22,11321.24,5483.73,118554.63,150218.72,50131.87,94603.12,41393.29,50627.18,30496.59,19069.22,17724.82,6969.64,3396.37,3927.06,4563.88,3962.43,4125,4184,4060,3502,2683,4637,1981,1912,906,944,1442,990,1530,1179,1068,1380,986,11853.11
"F916,COLLEGE OF EDUCATION BOILER HOUSE,151",39249.13,39249.13,3019.16,89489.38,119036.48,10109.11,68762.31,75377.33,18759.52,1509.5,12551.58,46780.08,124769.5,66319.84,55159.11,54209.26,106281.36,22491.08,91851,36294,51686,780,11980,2239,109448,135985,105993,67745,104506,8165,68765,314414,613,2239,2837,24509.54
"F940 PLAZA BUILDING,132 ANZAC AVENUE,FORSYTH",11064.03,11064.03,10418.9,9196.42,16893.12,15645.18,10170.51,262738.3,102722.2,113745.29,10546.45,7732.61,11936.42,14326.34,15631.71,4302.5,12645.34,12238.52,10455,10498,419596,129573,27148,139221,9558,11243,10289,10170,11645,10277,10347,336539,68660,115147,54624,73476.8
F940 Plaza Café Gas,694.99,3085.06,2813.84,4102.11,3593.58,3390.17,4203.81,4102.11,3118.96,2101.91,1050.95,1017.05,813.64,847.54,983.15,1050.95,1017.05,1017.05,1186.56,1389.97,508.53,1152.66,1186.56,1186.56,576.33,779.74,813.64,31325.19,1017.05,1017.05,2695.19,2746.04,1813.74,1627.28,1118.76,1101.81
F940 Plaza Gas meter Main (Desigo),979.08,1138.08,1056.72,1191.31,1151.64,1038.07,1383.19,1362.17,1189.95,1102.82,24030.89,699.39,979.08,1138.08,1056.72,1191.31,1151.64,1038.07,1383.19,1362.17,1189.95,1102.82,24030.89,699.39,979.08,1138.08,1056.72,1191.31,1151.64,1038.07,1383.19,1362.17,1189.95,1102.82,24030.89,699.39
F940 Plaza L1 Gas meter Kitchen Café,82.72,112.21,44.75,81.36,98.99,132.56,158.66,495.98,458.35,589.89,2275.82,68.48,82.72,112.21,44.75,81.36,98.99,132.56,158.66,495.98,458.35,589.89,2275.82,68.48,82.72,112.21,44.75,81.36,98.99,132.56,158.66,495.98,458.35,589.89,2275.82,68.48
F940 Plaza L4 HHW Gas meter,0,0.68,0.34,0.34,1217.41,1186.56,878.05,647.52,689.9,460.39,13833.6,0,0,0.68,0.34,0.34,1217.41,1186.56,878.05,647.52,689.9,460.39,13833.6,0,0,0.68,0.34,0.34,1217.41,1186.56,878.05,647.52,689.9,460.39,13833.6,0
F940 Plaza Unipol Gas,6949.85,8814.45,8475.43,11526.58,11967.31,11865.6,12577.54,13899.7,13221.67,13764.1,10577.34,9153.46,6712.54,8034.71,10509.53,10645.14,10170.51,11526.58,14001.41,15798.2,13458.98,12441.93,11187.57,12374.13,7187.16,10848.55,11899.5,11763.9,11628.29,11187.57,12035.11,14137.02,14069.21,9163.63,11805.59,10763.79
G403 Biochemistry Gas meter,44.2,38.89,70.72,70.72,70.72,35.36,141.43,70.72,106.08,35.36,106.08,35.36,35.36,49.5,42.08,33.24,62.23,42.43,18.03,70.72,42.43,32.18,86.63,118.1,53.04,28.29,26.17,37.48,70.72,35.36,6.36,6188.46,19616.94,21851.6,96.35,76.73
G404 Microbiology Gas meter,13895.92,16689.25,20225.1,17679.29,16830.68,17254.98,20790.84,19093.63,17325.7,16936.76,18103.59,12764.44,14072.71,15557.77,19776.05,15264.3,21073.71,16795.32,19517.93,20649.41,20083.67,17877.29,17658.07,14815.24,13719.13,17962.15,15593.13,17750,18032.87,16795.32,19447.21,2929740.62,1944.72,2227.59,17880.83,13789.84
"G404,CAMPUS (MICROBIOLOGY),720 CUMBERLAND",13860.56,13860.56,18351.1,17714.64,18315.74,18740.04,20720.12,18952.19,21674.81,19517.93,16795.32,19517.93,18245.02,11809.76,18174.31,18492.53,17856.08,20048.31,19670,20967,22573,21462,19630,19735,15710,13000,16932,18482,16651,20445,21624,17687,22802,22059,17180,19626.47
"G412,SCIENCE 2 BOILER HOUSE,72 UNION PLACE",148.92,148.92,12183.65,8091.46,14098.01,55845.98,46017.08,15934.72,25763.61,2779.89,40506.95,6304.39,434059.75,40273.45,17955.29,3177.02,1092.1,11715.24,53925,18887,15545,237,609,7669,4944,6348,6412,5634.24,7595.05,4404,49971.04,1849,20654.31,1508.44,20557.97,6986.7
G501 Staff Club Gas meter,265.19,565.74,813.25,707.17,1520.42,1237.55,2086.16,1767.93,1520.42,1838.65,1520.42,636.45,212.15,636.45,990.04,883.96,1485.06,1732.57,1732.57,2262.95,1485.06,1378.98,1378.98,848.61,318.23,671.81,1237.55,1152.58,1393.23,1732.57,1803.29,2086.16,1661.85,2044.64,1449.7,742.53
"G601,UNIVERSITY COLLEGE (KITCHEN),315 LEITH",60.91,121.82,395.92,1400.95,1126.85,1492.32,1370.5,1096.4,1492.32,1370.5,1461.86,944.12,60.91,121.82,395.92,639.57,730.93,944.12,1010,770,920,761,881,579,60.91,121.82,210,692,696,974,919,430,919,1097,910,761.56
"G608,ST MARGARET'S COLLEGE,333 LEITH",2364.47,2364.47,2610.13,3899.85,3254.99,3347.11,4084.09,3316.41,3807.72,3285.7,3838.43,3930.55,31198.77,4790.36,2364.47,3408.53,3562.06,4667.53,4568,4283,4266,3593,3983,8081,13589,21312,20620,3369,3663,5798,33903,33198,10995,19932,27271,6005.78
"G60X,UNIVERSITY COLLEGE 1,315 LEITH",27880.98,2716.78,100,0,0,2834.57,8673.5,17638,41296,42049,2173.43,2682.82,27880.98,2716.78,100,0,0,3260.14,1195,275,41296,42049,8829.21,3534,27880.98,2716.78,100,0,0,2409,16152,35001,41296,42049,15485,3108.41
"K308 CFC 911 CUMBERLAND STREET,DUNEDIN",2707.39,3290.98,5971.56,7342.91,8137.18,8142.46,11581.47,6869.85,7994.56,8237.74,8450.52,6626.67,2735.78,2978.96,5897.13,7173.83,8055.36,8480.92,9167,8510,9518,8329,8948,7148,2679,3603,6046,7512,8219,7804,8498,6321,8897,8422,8837,6887.34
"K427,CFC EAST ABBEY COLLEGE,682 CASTLE STREET,DUNEDIN",3304.52,3304.52,8138.01,15338.91,20320.36,20714.93,25647.06,17114.48,20000,23501.36,22194.57,17015.84,8335.29,8631.22,8384.61,14895.02,16621.27,22983.71,16110,12604,20616,14507,15591,12037,5065,5606,4271,10685,13204,14218,15672,5987,20831,15833,16875,14526.42
"MARSH STUDY CENTRE,CASTLE STREET,DUNEDIN",0,0,0,0,61.47,522.5,399.56,30.74,184.41,153.68,276.62,30.74,0,0,0,0,184.41,245.88,1198,645,489,91.84,92,30.74,0,0,0,0,122.94,213,31,337.87,31,30,91,30.74
"PHYSIO BUILDING, 325 GREAT KING ST",0,0,0,0,0,0,0,3408,1612,1672,1256,0,0,0,0,0,0,0,0,3408,1612,1672,1256,0,0,0,0,0,0,0,0,3408,1612,1672,1256,0
Total Gas Energy - Colleges,11764.42,11764.42,24026.58,41246.94,42478.02,52359.89,64692.49,48446.03,56380.68,57093.09,58849.8,42609.53,77249.26,23851.04,41872.55,42611.03,46779.25,59592.85,41429,35855,45388,71837,52793,41544,27369,25797,31247,22258,25782,31203,75144,80937,82938,87333,69378,42076.77
