Building_Code,Building_Name,Jan_2022,Feb_2022,Mar_2022,Apr_2022,May_2022,Jun_2022,Jul_2022,Aug_2022,Sep_2022,Oct_2022,Nov_2022,Dec_2022,Jan_2023,Feb_2023,Mar_2023,Apr_2023,May_2023,Jun_2023,Jul_2023,Aug_2023,Sep_2023,Oct_2023,Nov_2023,Dec_2023,Jan_2024,Feb_2024,Mar_2024,Apr_2024,May_2024,Jun_2024,Jul_2024,Aug_2024,Sep_2024,Oct_2024,Nov_2024,Dec_2024
F940,Plaza Café Gas,694.99,3085.06,2813.84,4102.11,3593.58,3390.17,4203.81,4102.11,3118.96,2101.91,1050.95,1017.05,813.64,847.54,983.15,1050.95,1017.05,1017.05,1186.56,1389.97,508.53,1152.66,1186.56,1186.56,576.33,779.74,813.64,31325.19,1017.05,1017.05,2695.19,2746.04,1813.74,1627.28,1118.76,1101.81
F940,Plaza Gas meter Main (Desigo),979.08,1138.08,1056.72,1191.31,1151.64,1038.07,1383.19,1362.17,1189.95,1102.82,24030.89,699.39,979.08,1138.08,1056.72,1191.31,1151.64,1038.07,1383.19,1362.17,1189.95,1102.82,24030.89,699.39,979.08,1138.08,1056.72,1191.31,1151.64,1038.07,1383.19,1362.17,1189.95,1102.82,24030.89,699.39
F940,Plaza L1 Gas meter Kitchen Café,82.72,112.21,44.75,81.36,98.99,132.56,158.66,495.98,458.35,589.89,2275.82,68.48,82.72,112.21,44.75,81.36,98.99,132.56,158.66,495.98,458.35,589.89,2275.82,68.48,82.72,112.21,44.75,81.36,98.99,132.56,158.66,495.98,458.35,589.89,2275.82,68.48
F940,Plaza L4 HHW Gas meter,0.0,0.68,0.34,0.34,1217.41,1186.56,878.05,647.52,689.9,460.39,13833.6,0.0,0.0,0.68,0.34,0.34,1217.41,1186.56,878.05,647.52,689.9,460.39,13833.6,0.0,0.0,0.68,0.34,0.34,1217.41,1186.56,878.05,647.52,689.9,460.39,13833.6,0.0
F940,Plaza Unipol Gas,6949.85,8814.45,8475.43,11526.58,11967.31,11865.6,12577.54,13899.7,13221.67,13764.1,10577.34,9153.46,6712.54,8034.71,10509.53,10645.14,10170.51,11526.58,14001.41,15798.2,13458.98,12441.93,11187.57,12374.13,7187.16,10848.55,11899.5,11763.9,11628.29,11187.57,12035.11,14137.02,14069.21,9163.63,11805.59,10763.79
G403,Biochemistry Gas meter,44.2,38.89,70.72,70.72,70.72,35.36,141.43,70.72,106.08,35.36,106.08,35.36,35.36,49.5,42.08,33.24,62.23,42.43,18.03,70.72,42.43,32.18,86.63,118.1,53.04,28.29,26.17,37.48,70.72,35.36,6.36,6188.46,19616.94,21851.6,96.35,76.73
G404,,13860.56,13860.56,18351.1,17714.64,18315.74,18740.04,20720.12,18952.19,21674.81,19517.93,16795.32,19517.93,18245.02,11809.76,18174.31,18492.53,17856.08,20048.31,19670.0,20967.0,22573.0,21462.0,19630.0,19735.0,15710.0,13000.0,16932.0,18482.0,16651.0,20445.0,21624.0,17687.0,22802.0,22059.0,17180.0,19626.47
G404,Microbiology Gas meter,13895.92,16689.25,20225.1,17679.29,16830.68,17254.98,20790.84,19093.63,17325.7,16936.76,18103.59,12764.44,14072.71,15557.77,19776.05,15264.3,21073.71,16795.32,19517.93,20649.41,20083.67,17877.29,17658.07,14815.24,13719.13,17962.15,15593.13,17750.0,18032.87,16795.32,19447.21,2929740.62,1944.72,2227.59,17880.83,13789.84
G412,,148.92,148.92,12183.65,8091.46,14098.01,55845.98,46017.08,15934.72,25763.61,2779.89,40506.95,6304.39,434059.75,40273.45,17955.29,3177.02,1092.1,11715.24,53925.0,18887.0,15545.0,237.0,609.0,7669.0,4944.0,6348.0,6412.0,5634.24,7595.05,4404.0,49971.04,1849.0,20654.31,1508.44,20557.97,6986.7
G501,Staff Club Gas meter,265.19,565.74,813.25,707.17,1520.42,1237.55,2086.16,1767.93,1520.42,1838.65,1520.42,636.45,212.15,636.45,990.04,883.96,1485.06,1732.57,1732.57,2262.95,1485.06,1378.98,1378.98,848.61,318.23,671.81,1237.55,1152.58,1393.23,1732.57,1803.29,2086.16,1661.85,2044.64,1449.7,742.53
G601,,60.91,121.82,395.92,1400.95,1126.85,1492.32,1370.5,1096.4,1492.32,1370.5,1461.86,944.12,60.91,121.82,395.92,639.57,730.93,944.12,1010.0,770.0,920.0,761.0,881.0,579.0,60.91,121.82,210.0,692.0,696.0,974.0,919.0,430.0,919.0,1097.0,910.0,761.56
G608,,2364.47,2364.47,2610.13,3899.85,3254.99,3347.11,4084.09,3316.41,3807.72,3285.7,3838.43,3930.55,31198.77,4790.36,2364.47,3408.53,3562.06,4667.53,4568.0,4283.0,4266.0,3593.0,3983.0,8081.0,13589.0,21312.0,20620.0,3369.0,3663.0,5798.0,33903.0,33198.0,10995.0,19932.0,27271.0,6005.78
G60X,,27880.98,2716.78,100.0,0.0,0.0,2834.57,8673.5,17638.0,41296.0,42049.0,2173.43,2682.82,27880.98,2716.78,100.0,0.0,0.0,3260.14,1195.0,275.0,41296.0,42049.0,8829.21,3534.0,27880.98,2716.78,100.0,0.0,0.0,2409.0,16152.0,35001.0,41296.0,42049.0,15485.0,3108.41
