Meter Location,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24
"G413, Science 2 consumption comp. and costs (64082528) (IP 10.3.161.225)",27740.0,30920.0,5950.0,24900.0,29140.0,47480.0,64120.0,77170.0,66540.0,68430.0,52440.0,21310.0,20010.0,10910.0,12820.0,25370.0,37880.0,46610.0,54710.0,58670.0,60900.0,52290.0,47950.0,42140.0,27580.0,20610.0,24040.0,43850.0,46740.0,65740.0,62050.0,72130.0,68030.0,61300.0,48990.0, , 
"G413, Science 2 consumption uncomp. and costs (64082529)(IP 10.3.161.225)",54620.0,56930.0,61810.0,76380.0,77510.0,114380.0,139880.0,152980.0,131930.0,139710.0,136790.0,90850.0,77620.0,63360.0,55040.0,63150.0,81170.0,117370.0,128340.0,140580.0,138060.0,121180.0,111450.0,94820.0,71180.0,68250.0,72410.0,100170.0,111490.0,146070.0,124370.0,132350.0,126040.0,91570.0,85510.0, , 
"G413, Science 2 L1 (68636395)",7000.0,4000.0,8700.000000000045,11500.0,12799.999999999955,20800.000000000182,34799.999999999956,33000.0,30700.000000000044,29299.999999999956,27200.000000000044,20099.99999999991,15319.999999999936,9090.000000000146,8949.985351559917,9140.014648440001,13000.0,15000.0,19000.0,16000.0,19000.0,19000.0,19000.0,2000.0,1700.0000000000455,2700.0000000000455,2599.999999999909,6559.936999999991,8290.038999999979,15130.004000000099,17459.96100000002,17089.966000000004,17270.01999999993,16770.019000000048,13500.0, , 
"G413, Science 2 total",89360.0,91850.0,76460.00000000004,112780.0,119449.99999999996,182660.00000000017,238799.99999999994,263150.0,229170.00000000006,237439.99999999994,216430.00000000006,132259.9999999999,112949.99999999994,83360.00000000015,76809.98535155991,97660.01464844,132050.0,178980.0,202050.0,215250.0,217960.0,192470.0,178400.0,138960.0,100460.00000000004,91560.00000000004,99049.99999999991,150579.93699999998,166520.039,226940.0040000001,203879.961,221569.96600000001,211340.01999999993,169640.01900000006,148000.0, , 
"G501, Staff Club ",1070.0,1110.0,1090.0,2800.0,3970.0,6770.0,10250.0,10630.0,8400.0,7370.0,5780.0,2150.0,1290.0,260.0,540.0,1720.0,2620.0,5900.0,6590.0,5660.0,7020.0,3880.0,4400.0,4080.0,2180.0,2160.0,1790.0,4840.0,5560.0,10690.0,9340.0,12140.0,10000.0,7790.0,7320.0, , 
"F507, AppSc ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, , 
"F509, Gregory ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, , 
"G405, Science 3 ",66600.0,76300.0,73200.0,77300.0,91400.0,161500.0,227500.0,259000.0,181900.0,197000.0,182200.0,84500.0,74300.0,39800.0,32900.0,52200.0,92000.0,107300.0,158000.0,184100.0,177600.0,132200.0,119800.0,103800.0,88900.0,84300.0,96400.0,96100.0,98700.0,163600.0,169000.0,184400.0,184500.0,146000.0,138400.0, , 
"G411, St David Lecture ",8900.0,6200.0,8900.0,10600.0,18900.0,34700.0,50700.0,73200.0,31200.0,33900.0,29800.0,9500.0,9400.0,3000.0,-1350240.0,1366340.0,17700.0,28600.0,37300.0,48600.0,44200.0,30100.0,2900.0,900.0,0.0,100.0,0.0,0.0,23100.0,46000.0,32400.0,47200.0,41200.0,24500.0,21200.0, , 
"H402, St David 2 ",16159.999999999854,13950.000000000045,13000.0,18650.00000000009,20019.99999999998,29029.99999999997,40099.99999999991,35000.0,44100.00000000014,37399.99999999986,31600.00000000014,18899.99999999986,18299.999999999956,7900.000000000091,8500.0,19500.0,22000.0,31299.999999999956,40700.000000000044,46599.99999999991,48400.00000000009,33000.0,28000.0,22000.0,25000.0,18000.0,11000.0,25500.0,30000.0,31000.0,31000.0,65500.0,36000.0,35000.0,27000.0, , 
"F419, ISB ",59000.0,23000.0,34000.0,20000.0,48000.0,68000.0,110000.0,175000.0,108000.0,83000.0,82000.0,52000.0,35000.0,19799.999999999272,25200.000000000728,58159.999999999854,80840.00000000015,121000.0,118000.0,143000.0,139000.0,135000.0,61540.00000000087,62459.99999999913,51000.0,27000.0,36000.0,110000.0,101340.00000000015,145659.99999999985,120000.0,177000.0,130000.0,140000.0,112000.0, , 
E214 Dental CSB Steam Meter 1,46878.0,25201.0,25201.0,53387.0,41302.0,64901.0,74966.0,92625.0,54011.0,63857.0,59409.0,29493.0,37334.33333333349,37334.33333333302,37334.33333333349,54523.0,54651.0,65143.0,80668.0,97461.0,93364.0,69675.0,38292.0,46031.0,29125.0,26655.0,20095.0,44984.0,61883.0,85290.0,63962.0,38853.0,96742.0,59771.0,51579.0, , 
E214 Dental CSB Steam Meter 2,50196.0,26971.0,26971.0,49980.0,39762.0,60585.0,56970.0,84777.0,37520.0,23015.0,359.0,150.0,10000.0,10000.0,20205.0,12855.0,7688.0,87.0,366.0,864.0,7.0,0.0,654.0,0.0,0.0,243.0,0.0,586.0,4.0,251.0,0.0,0.0,0.0,26547.0,168003.0, , 
E201 Dental Steam Total,97074.0,52172.0,52172.0,103367.0,81064.0,125486.0,131936.0,177402.0,91531.0,86872.0,59768.0,29643.0,47334.33333333349,47334.33333333302,57539.33333333349,67378.0,62339.0,65230.0,81034.0,98325.0,93371.0,69675.0,38946.0,46031.0,29125.0,26898.0,20095.0,45570.0,61887.0,85541.0,63962.0,38853.0,96742.0,86318.0,219582.0, , 
E325 Eccles Steam ,,0.0,3523058.3740000003,3347502.6780000003,3459169.4340000004,3659169.594,3511669.4760000003,3656669.592,3527502.822,3547502.8380000005,3523613.93,3215558.128,3831947.5100000002,3499725.0220000003,2256112.916,1936390.438,2121390.586,5041948.478,4953892.852,3110558.044,4230836.718,4098892.168,4840003.872,4972781.756,4490559.148,2694724.378,1940557.1080000002,1912223.752,4016947.6580000003,2157501.7260000003,1743334.7280000001,1775834.7540000002,2932224.5680000004,1968612.6860000002,1314445.496, , 
