Meter_location,Jan_2022,Feb_2022,Mar_2022,Apr_2022,May_2022,Jun_2022,Jul_2022,Aug_2022,Sep_2022,Oct_2022,Nov_2022,Dec_2022,Jan_2023,Feb_2023,Mar_2023,Apr_2023,May_2023,Jun_2023,Jul_2023,Aug_2023,Sep_2023,Oct_2023,Nov_2023,Dec_2023,Jan_2024,Feb_2024,Mar_2024,Apr_2024,May_2024,Jun_2024,Jul_2024,Aug_2024,Sep_2024,Oct_2024,Nov_2024,Dec_2024
"E902,HOCKEN LIBRARY,90 ANZAC AVENUE,DUNEDIN",124805.85,124805.85,88033.0,95192.61,76638.12,86486.79,72907.05,55024.82,54621.47,45411.45,49310.58,67797.84,67764.23,41064.52,50338.26,76243.13,88973.13,72376.22,75266.0,50601.0,61980.0,49483.0,50162.0,66873.0,57687.0,89911.0,69310.0,63831.0,78917.0,56579.0,69992.0,70162.0,68910.0,55175.0,67394.0,67335.42
"F516/17,HUMANITIES,97-99/ALBANY",1459.92,1459.92,1733.65,1976.97,2828.59,3102.32,4805.56,6539.21,5505.11,5292.2,3953.94,2919.83,2281.12,1003.69,1155.77,2159.46,4075.6,4531.83,4800.0,5718.0,5450.0,3589.0,4097.0,2465.0,2150.0,1413.0,1018.0,1533.0,2419.0,3160.0,3089.0,4360.0,4956.0,4198.0,3361.0,2692.42
"F204,IT DEPT,444 GREAT KING STREET,DUNEDIN",1964.35,1964.35,3990.09,4450.48,6353.45,7212.85,11724.72,10404.92,11847.49,11694.02,7918.79,4020.78,3345.53,920.79,1227.72,2117.82,4696.02,5678.2,7498.0,8593.0,9178.0,5770.0,5758.0,4300.0,3325.0,1863.0,1934.0,3550.0,5156.0,6439.0,7747.0,6910.0,6669.0,4329.0,3178.0,4160.39
"E208/12,ZOOLOGY (BENHAM BLDG),346 GREAT KING",42008.0,42008.0,35532.19,38481.9,51501.33,58756.95,99171.42,96357.33,85745.14,85982.47,78523.42,61774.47,54925.71,46178.28,36922.28,43703.24,65741.33,67809.52,89873.0,113153.0,112043.0,81100.0,74463.0,65645.0,49309.0,48800.0,50142.0,51578.0,62078.0,75430.0,97711.0,90596.0,94123.0,80301.0,73151.0,53833.63
"G601,UNIVERSITY COLLEGE (KITCHEN),315 LEITH",60.91,121.82,395.92,1400.95,1126.85,1492.32,1370.5,1096.4,1492.32,1370.5,1461.86,944.12,60.91,121.82,395.92,639.57,730.93,944.12,1010.0,770.0,920.0,761.0,881.0,579.0,60.91,121.82,210.0,692.0,696.0,974.0,919.0,430.0,919.0,1097.0,910.0,761.56
"E213,PARKER BUILDING,344 GREAT KING",8116.92,8116.92,5472.08,5593.69,6353.7,6080.09,8208.13,3587.26,7660.92,7934.52,7356.91,6840.11,6049.69,6080.09,60.8,6577.27,7608.37,3344.05,8465.0,8880.0,8416.0,7175.0,7250.0,7818.0,5248.0,5152.88,269.0,6792.0,8371.0,8717.0,10700.0,9299.0,11375.0,12133.0,11472.0,6111.76
"ARANA 110 CLYDE STREET,DUNEDIN",3168.64,3168.64,8226.27,12004.27,10237.14,14654.95,12430.81,9627.79,10359.01,9079.37,9201.24,5910.73,3534.25,1286.0,20041.13,7891.13,9384.04,9323.11,9379.0,9413.0,10068.0,8775.0,10152.0,4824.0,4748.0,2227.32,14133.7,9947.7,9810.59,11989.03,10904.91,9520.39,10213.51,8927.18,9676.62,5367.36
"DENTAL 310 GREAT KING STREET,DUNEDIN NORTH,DUNEDIN",4360.87,1432.73,744.8,1523.45,6026.1,1958.53,1979.59,1546.31,52943.55,19393.99,8619.98,2880.0,6639.73,661.45,1015.64,1049.49,6026.1,2166.69,1983.0,4049.0,2660.0,2573.0,2912.0,2880.0,2082.0,2204.0,2205.0,2082.0,6026.1,1798.0,1981.3,240.0,239.0,1660.0,1552.0,2880.0
"ECCLES GREAT KING STREET,UNIVERSITY OF",252499.97,252499.97,252499.97,505845.66,259192.12,327952.13,374613.33,376782.76,399396.35,333467.64,358986.06,222679.46,261140.94,255257.73,216943.33,229077.45,266877.07,272613.2,293222.0,382678.0,361583.0,296108.0,312208.0,271198.0,229596.0,191548.0,210008.0,225157.0,303085.0,321948.0,345686.0,342506.0,390787.0,365907.0,294191.0,246938.73
"MARSH STUDY CENTRE,CASTLE STREET,DUNEDIN",0.0,0.0,0.0,0.0,61.47,522.5,399.56,30.74,184.41,153.68,276.62,30.74,0.0,0.0,0.0,0.0,184.41,245.88,1198.0,645.0,489.0,91.84,92.0,30.74,0.0,0.0,0.0,0.0,122.94,213.0,31.0,337.87,31.0,30.0,91.0,30.74
"CHILDCARE CENTRE,563 CASTLE STREET,DUNEDIN",9025.41,137.85,5852.41,13231.32,19130.86,8360.66,7013.0,597.82,39.85,358.69,597.82,39.85,597.82,79.71,10999.82,26383.64,31564.71,7851.32,7660.0,3569.0,4430.0,40.0,600.0,13237.0,17453.0,196.0,705.0,79.0,6697.0,8870.0,6366.0,3245.0,80.0,79.0,394.0,6638.43
"PHYSIO BUILDING, 325 GREAT KING ST",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3408.0,1612.0,1672.0,1256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3408.0,1612.0,1672.0,1256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3408.0,1612.0,1672.0,1256.0,0.0
"AQUINAS 74 GLADSTONE ROAD,DUNEDIN",2926.78,2926.78,4656.24,8602.96,7538.68,12150.58,9578.56,10421.11,12727.06,11618.43,11529.74,5498.8,3503.27,3325.89,4789.28,8602.96,8425.58,9933.32,9578.56,10421.11,12727.06,35872.0,13238.0,5341.0,1288.0,3126.33,4722.76,8602.96,7982.13,11041.95,9578.56,10421.11,12727.06,23745.22,12383.87,5419.9
"56A TE AWE AWE STREET,HOKOWHITU,PALMERSTON NORTH",343.43,343.43,343.43,343.43,343.43,343.43,343.43,263.3,686.87,480.81,412.12,503.7,22.9,297.64,57.24,171.72,423.57,297.64,438.0,404.0,609.0,458.0,80.0,247.0,67.0,201.0,200.34,257.58,383.5,320.54,390.72,333.65,647.93,469.4,246.06,375.35
